5.3236e-11,5.7815e-11,6.2651e-11,3.4761e-11,0.014791,0.035079,0.045279,0.073983,0.092393,0.12045,0.16569,0.19211,0.22845,0.28126,0.33611,0.39085,0.45234,0.52142,0.61991,0.70995,0.032206,0.035079,0.054632,0.073983,0.091539,0.11729,0.14316,0.16569,0.20006,0.22775,0.27363,0.30944,0.35065,0.40966,0.45956,0.52028,0.59474,0.66695,0.74857,0.85852,0.10284,0.11729,0.13945,0.16569,0.18216,0.21304,0.23442,0.27038,0.2977,0.33991,0.3741,0.42409,0.46559,0.52028,0.57565,0.63442,0.71433,0.78834,0.88684,0.97977,0.23054,0.2538,0.27871,0.29587,0.32456,0.35065,0.37953,0.41549,0.44398,0.48618,0.52028,0.56808,0.62268,0.67178,0.73745,0.79696,0.87687,0.95063,1.0491,1.1414,0.57993,0.6032,0.62471,0.64823,0.67692,0.70779,0.74108,0.76455,0.80346,0.84567,0.88767,0.93171,0.98632,1.0461,1.0967,1.169,1.2489,1.3235,1.422,1.5126
5.2155e-11,5.9889e-11,6.5319e-11,0.026877,0.04132,0.087981,0.12883,0.17284,0.23274,0.30358,0.38571,0.48762,0.60819,0.75369,0.92996,1.1443,1.4064,1.7319,2.1408,2.6631,0.029725,0.04132,0.075663,0.10126,0.14095,0.18582,0.23143,0.28471,0.35109,0.43748,0.52499,0.62862,0.75185,0.89929,1.076,1.2895,1.5519,1.8969,2.3239,2.8489,0.097686,0.13312,0.15834,0.2014,0.23751,0.27845,0.34031,0.39567,0.45946,0.55094,0.64077,0.74546,0.87,1.0268,1.2174,1.4333,1.699,2.0265,2.436,2.952,0.23274,0.26817,0.29618,0.33991,0.37787,0.43273,0.48044,0.55053,0.61812,0.69303,0.7985,0.90543,1.028,1.1968,1.3754,1.5934,1.886,2.2148,2.6256,3.1423,0.58021,0.61564,0.65493,0.68406,0.72961,0.78447,0.83929,0.90627,0.98611,1.059,1.1645,1.2695,1.4126,1.5646,1.7653,1.9749,2.2675,2.5913,2.9932,3.5574
5.2634e-11,6.0768e-11,5.4476e-11,0.044494,0.068178,0.11569,0.16647,0.24108,0.32852,0.43676,0.57011,0.73552,0.94053,1.1972,1.4979,1.9128,2.468,3.2104,4.2209,5.6421,0.028461,0.044494,0.086938,0.12248,0.16179,0.22043,0.29635,0.37238,0.46437,0.57481,0.7109,0.87735,1.0835,1.3414,1.6702,2.0952,2.653,3.3968,4.4092,5.8316,0.095203,0.13665,0.16826,0.22043,0.2691,0.32392,0.38984,0.48422,0.57618,0.68978,0.82597,0.99379,1.2046,1.4848,1.8164,2.2442,2.8039,3.5481,4.5619,5.9853,0.23,0.27173,0.30523,0.35873,0.40868,0.4788,0.54288,0.62633,0.73415,0.84608,0.98527,1.1747,1.3801,1.6409,1.9719,2.3946,2.9941,3.7375,4.7525,6.1771,0.58038,0.62212,0.66126,0.71476,0.77582,0.8256,0.90666,0.98924,1.1,1.2068,1.3635,1.5315,1.7631,2.0258,2.3577,2.8112,3.3532,4.083,5.103,6.5934
5.3091e-11,6.1748e-11,0.0023556,0.046548,0.084738,0.14143,0.20175,0.29065,0.39535,0.52952,0.67661,0.87476,1.1401,1.4836,1.9363,2.5441,3.3755,4.5383,6.23,8.7711,0.027865,0.046548,0.0922,0.13322,0.17797,0.23944,0.31689,0.41594,0.53214,0.66649,0.83463,1.0454,1.3146,1.6608,2.1163,2.7246,3.5375,4.6779,6.3314,8.822,0.099912,0.13856,0.17295,0.23167,0.28475,0.34794,0.42419,0.53317,0.643,0.78,0.94884,1.1615,1.4277,1.7726,2.2248,2.8272,3.6436,4.7903,6.4478,8.9285,0.23306,0.27128,0.31689,0.36857,0.42347,0.50222,0.57663,0.67661,0.79938,0.93616,1.1074,1.3354,1.6107,1.9586,2.414,3.0193,3.835,4.9825,6.6408,9.1219,0.57649,0.62142,0.67264,0.71971,0.78747,0.85048,0.93971,1.0487,1.1641,1.3208,1.4835,1.695,1.9912,2.3391,2.7888,3.4399,4.2502,5.3993,7.0589,9.541
5.3032e-11,6.2497e-11,0.0065194,0.048038,0.095668,0.15838,0.22577,0.32462,0.43559,0.56673,0.75601,0.99786,1.3134,1.7302,2.2918,3.0332,4.0671,5.627,7.9824,11.697,0.027518,0.048038,0.095481,0.14,0.18863,0.25545,0.33518,0.43559,0.5617,0.715,0.90378,1.1407,1.4553,1.8697,2.4247,3.1848,4.2572,5.8176,8.1734,11.888,0.10335,0.13952,0.1759,0.23809,0.29485,0.36376,0.44678,0.5617,0.68882,0.84323,1.0373,1.2843,1.6005,2.0171,2.575,3.3392,4.4114,5.9723,8.3285,12.043,0.23641,0.2704,0.3243,0.37467,0.43559,0.51714,0.59903,0.715,0.84406,0.9995,1.1944,1.4392,1.7843,2.2036,2.7651,3.5336,4.6038,6.1653,8.5221,12.237,0.57381,0.62082,0.67472,0.72156,0.79385,0.87851,0.96133,1.0807,1.2067,1.3823,1.5697,1.8269,2.162,2.5802,3.136,3.9571,5.0204,6.5835,8.9413,12.656
5.2986e-11,6.2987e-11,0.0095295,0.049193,0.10371,0.1708,0.2438,0.3415,0.45374,0.61517,0.82483,1.0958,1.4536,1.9334,2.5311,3.437,4.7495,6.7166,9.7918,14.849,0.027291,0.049193,0.097796,0.14474,0.19646,0.26723,0.3523,0.45904,0.58892,0.75443,0.96534,1.2377,1.5941,2.0696,2.7168,3.6269,4.9402,6.9076,9.983,15.04,0.10554,0.13985,0.17805,0.24281,0.30222,0.37531,0.46322,0.58379,0.72368,0.89196,1.1063,1.3816,1.7398,2.2175,2.8687,3.7822,5.095,7.0627,10.138,15.195,0.23561,0.26966,0.32552,0.37878,0.45121,0.52775,0.61571,0.74308,0.87783,1.0481,1.2619,1.5325,1.924,2.4046,3.06,3.9776,5.2879,7.2561,10.332,15.389,0.58283,0.6204,0.67627,0.74103,0.79772,0.88686,0.97691,1.1043,1.2383,1.4289,1.6365,1.9391,2.2991,2.7776,3.4267,4.4025,5.7055,7.6751,10.752,15.809
5.2938e-11,6.32e-11,0.011852,0.050129,0.10819,0.17596,0.25571,0.35044,0.4813,0.65487,0.88142,1.1773,1.5717,2.0577,2.7852,3.829,5.3707,7.7373,11.547,18.037,0.027087,0.050129,0.099544,0.1483,0.2025,0.27642,0.36577,0.4781,0.61655,0.79374,1.0216,1.3183,1.7108,2.2391,2.9719,4.0196,5.5617,7.9285,11.738,18.227,0.10454,0.13988,0.17959,0.24637,0.30795,0.38423,0.47601,0.60214,0.75175,0.93152,1.163,1.4623,1.8566,2.3879,3.1244,4.1755,5.7168,8.0837,11.893,18.382,0.23487,0.26909,0.32648,0.38169,0.46003,0.5359,0.62881,0.76271,0.90492,1.0874,1.3171,1.6119,2.0412,2.5758,3.3164,4.3714,5.91,8.2774,12.087,18.576,0.58009,0.6198,0.6772,0.74398,0.80042,0.89313,0.98877,1.1227,1.263,1.4662,1.6907,2.0189,2.4139,2.9458,3.6782,4.7806,6.3282,8.6967,12.507,18.996
5.2888e-11,6.3365e-11,0.013723,0.050913,0.11002,0.17917,0.26078,0.35855,0.50433,0.68837,0.92952,1.2471,1.6642,2.2047,3.0117,4.1839,5.9445,8.7034,13.257,21.258,0.026861,0.050913,0.10098,0.15111,0.20737,0.2839,0.37677,0.49386,0.63958,0.82682,1.0693,1.3872,1.8112,2.3879,3.199,4.3749,6.1357,8.8946,13.448,21.448,0.10383,0.13978,0.18071,0.24916,0.31256,0.39136,0.4865,0.61782,0.77498,0.96486,1.2109,1.5313,1.9574,2.5373,3.352,4.5311,6.2908,9.0498,13.604,21.603,0.23405,0.26857,0.32721,0.38365,0.4642,0.54258,0.63906,0.77845,0.92773,1.1202,1.3635,1.6794,2.1423,2.7257,3.5443,4.7274,6.4842,9.2435,13.797,21.796,0.57821,0.61787,0.67652,0.74496,0.80326,0.89894,1.0138,1.1375,1.2972,1.497,1.7362,2.0868,2.5128,3.0927,3.9008,5.1214,6.9027,9.663,14.217,22.216
5.2837e-11,6.3498e-11,0.015276,0.051584,0.11158,0.18193,0.26515,0.37233,0.52416,0.71725,0.97135,1.3083,1.7219,2.3371,3.2165,4.5096,6.4803,9.6248,14.932,24.511,0.026613,0.051584,0.10217,0.1534,0.21136,0.29018,0.38602,0.50728,0.65925,0.85533,1.1106,1.4475,1.8994,2.5208,3.4043,4.7008,6.6714,9.8158,15.122,24.701,0.10325,0.1396,0.18193,0.25123,0.3165,0.39728,0.49529,0.63148,0.79476,0.99355,1.2524,1.5915,2.046,2.6706,3.5576,4.8572,6.8265,9.971,15.277,24.855,0.23276,0.26838,0.32808,0.38515,0.46757,0.54807,0.64748,0.79162,0.94721,1.1483,1.4036,1.7381,2.2312,2.8593,3.7502,5.0536,7.0199,10.165,15.471,25.048,0.57639,0.62781,0.67539,0.74523,0.81357,0.90377,1.022,1.1498,1.3278,1.5231,1.7752,2.1458,2.5997,3.2232,4.101,5.4378,7.4384,10.584,15.891,25.468
5.2785e-11,6.3606e-11,0.016595,0.052169,0.11295,0.18435,0.26898,0.38426,0.54155,0.74263,1.0083,1.3628,1.7982,2.457,3.4042,4.8115,6.9846,10.509,16.575,27.796,0.026347,0.052169,0.10316,0.15531,0.21472,0.29555,0.39397,0.51891,0.67638,0.88032,1.1471,1.501,1.9783,2.6411,3.5922,5.0028,7.1755,10.699,16.765,27.985,0.10272,0.13937,0.18435,0.25284,0.31984,0.40229,0.50279,0.64358,0.81194,1.0187,1.289,1.6449,2.1253,2.7912,3.7456,5.1592,7.3305,10.854,16.92,28.139,0.23129,0.26898,0.32884,0.38629,0.47034,0.55263,0.65459,0.8029,0.9641,1.1728,1.4387,1.79,2.3107,2.9801,3.9384,5.3554,7.5237,11.048,17.113,28.331,0.57463,0.62673,0.6741,0.74515,0.8292,0.90773,1.029,1.1601,1.344,1.5456,1.8091,2.1979,2.6773,3.3409,4.2831,5.7339,7.942,11.467,17.532,28.75
5.2824e-11,6.3697e-11,0.017733,0.052687,0.11416,0.18649,0.27274,0.39481,0.55699,0.76525,1.0415,1.4052,1.8694,2.5669,3.5775,5.0936,7.4623,11.36,18.191,31.11,0.026059,0.052687,0.104,0.15693,0.21759,0.30019,0.40092,0.52912,0.6915,0.90253,1.1797,1.5489,2.0499,2.7512,3.7657,5.2848,7.6529,11.55,18.381,31.299,0.10223,0.13907,0.18649,0.25413,0.32266,0.4066,0.50927,0.65444,0.82706,1.041,1.3216,1.6928,2.1971,2.9014,3.9192,5.441,7.8076,11.705,18.535,31.452,0.2298,0.27239,0.32934,0.38713,0.47261,0.55645,0.66062,0.81266,0.97893,1.1944,1.4699,1.8364,2.3826,3.0904,4.112,5.637,8.0005,11.898,18.728,31.644,0.57286,0.62555,0.67258,0.74469,0.83017,0.91101,1.035,1.1689,1.358,1.5651,1.8391,2.2444,2.7473,3.448,4.4502,6.013,8.4185,12.317,19.147,32.062
5.2865e-11,6.3772e-11,0.018729,0.053151,0.11525,0.18842,0.27913,0.40425,0.57085,0.78564,1.0715,1.4348,1.9348,2.6683,3.7389,5.3588,7.917,12.183,19.784,34.454,0.025753,0.053151,0.10472,0.15832,0.22008,0.30426,0.40708,0.53818,0.70499,0.92248,1.2092,1.5924,2.1155,2.8527,3.9271,5.5497,8.1072,12.373,19.973,34.642,0.10177,0.13873,0.18842,0.25515,0.32506,0.41033,0.51491,0.66427,0.84048,1.061,1.351,1.7363,2.2627,3.0029,4.0806,5.7057,8.2615,12.527,20.127,34.795,0.22827,0.27546,0.3296,0.38772,0.47448,0.55964,0.66572,0.82112,0.99208,1.2136,1.4979,1.8784,2.4483,3.192,4.2734,5.9013,8.4541,12.72,20.319,34.986,0.571,0.62422,0.6707,0.74376,0.83052,0.91369,1.0401,1.1763,1.3703,1.5825,1.8658,2.2864,2.8109,3.5463,4.6046,6.2775,8.8716,13.138,20.737,35.403
5.29e-11,6.3837e-11,0.019609,0.05357,0.11623,0.19017,0.28485,0.41279,0.58339,0.80419,1.099,1.4622,1.9952,2.7625,3.89,5.6094,8.3517,12.982,21.356,37.826,0.025428,0.05357,0.10531,0.15954,0.22224,0.30786,0.41256,0.5463,0.71714,0.94055,1.236,1.6322,2.1759,2.9469,4.0781,5.7999,8.5413,13.171,21.545,38.013,0.10126,0.13842,0.19017,0.25594,0.3271,0.41356,0.51989,0.67326,0.8525,1.079,1.3777,1.776,2.3231,3.0971,4.2315,5.9554,8.6952,13.324,21.698,38.165,0.2267,0.27825,0.32965,0.38804,0.47595,0.56237,0.67326,0.8285,1.0038,1.2307,1.5233,1.9166,2.5086,3.2861,4.4242,6.1506,8.8873,13.517,21.889,38.356,0.56911,0.62279,0.67326,0.74238,0.83029,0.91577,1.0443,1.1824,1.3807,1.5982,1.9058,2.3244,2.8692,3.637,4.7478,6.5294,9.3041,13.934,22.307,38.771
5.293e-11,6.3892e-11,0.020396,0.053952,0.11713,0.19177,0.29003,0.42057,0.59484,0.82118,1.1242,1.4925,2.0513,2.8506,4.0321,5.8472,8.7685,13.757,22.909,41.226,0.025095,0.053952,0.10579,0.1606,0.22414,0.31105,0.41748,0.55364,0.72816,0.95703,1.2605,1.6688,2.2319,3.0349,4.2201,6.0371,8.9575,13.946,23.097,41.412,0.10065,0.13811,0.19177,0.25655,0.32883,0.41636,0.52431,0.68153,0.86334,1.0954,1.402,1.8126,2.379,3.185,4.3734,6.192,9.1108,14.099,23.249,41.563,0.22511,0.27921,0.3295,0.38818,0.47707,0.5647,0.68153,0.83498,1.0143,1.2461,1.5465,1.9515,2.5644,3.3738,4.5659,6.3865,9.3023,14.29,23.44,41.752,0.5672,0.62131,0.68153,0.7407,0.82966,0.91727,1.0478,1.1872,1.3895,1.6123,1.9436,2.3591,2.9227,3.7211,4.8812,6.7702,9.7184,14.707,23.856,42.167
5.2954e-11,6.3939e-11,0.021104,0.054303,0.11796,0.19324,0.29475,0.42769,0.60535,0.83684,1.1476,1.5264,2.1036,2.9331,4.1664,6.0734,9.1691,14.512,24.444,44.652,0.024756,0.054303,0.10616,0.16152,0.22581,0.3139,0.4219,0.56031,0.7382,0.97213,1.2831,1.7027,2.2841,3.1172,4.3541,6.2626,9.3574,14.7,24.631,44.837,0.099984,0.13775,0.19324,0.257,0.33029,0.41878,0.52825,0.6892,0.87316,1.1104,1.4244,1.8464,2.431,3.2672,4.5072,6.4169,9.5101,14.852,24.783,44.987,0.22349,0.27798,0.32916,0.39175,0.47787,0.56668,0.6892,0.84069,1.0237,1.2599,1.5677,1.9835,2.6162,3.4558,4.6994,6.6106,9.701,15.043,24.973,45.175,0.56526,0.61975,0.68356,0.73872,0.82864,0.91824,1.0506,1.1911,1.3972,1.6249,1.9694,2.3908,2.9722,3.7994,5.0057,7.0013,10.116,15.459,25.388,45.588
5.2973e-11,6.3979e-11,0.021742,0.054627,0.11872,0.1946,0.29907,0.43425,0.61506,0.85135,1.1693,1.558,2.1526,3.0109,4.2936,6.2893,9.5551,15.249,25.963,48.103,0.024404,0.054627,0.10643,0.16231,0.22729,0.31644,0.42588,0.56638,0.7474,0.98604,1.304,1.7342,2.3329,3.1947,4.4809,6.4777,9.7425,15.435,26.149,48.286,0.099261,0.13732,0.1946,0.25732,0.3315,0.42084,0.53175,0.69634,0.8821,1.1242,1.445,1.8778,2.4795,3.3444,4.6337,6.6312,9.8946,15.587,26.3,48.435,0.22185,0.27669,0.32863,0.39506,0.47835,0.56834,0.69634,0.84569,1.0321,1.2724,1.587,2.013,2.6643,3.5328,4.8256,6.8239,10.085,15.777,26.489,48.623,0.56326,0.6181,0.68239,0.73642,0.82724,0.9187,1.0528,1.1942,1.4037,1.6361,1.9882,2.4198,3.0178,3.8723,5.122,7.2237,10.499,16.191,26.902,49.034
5.2988e-11,6.4013e-11,0.022319,0.054928,0.11943,0.19587,0.30304,0.4403,0.62404,0.86484,1.1896,1.5875,2.1986,3.0843,4.4143,6.4957,9.9276,15.967,27.467,51.578,0.02403,0.054928,0.1066,0.16297,0.2286,0.31871,0.42946,0.57191,0.75584,0.99888,1.3234,1.7636,2.3785,3.2678,4.6012,6.6831,10.114,16.153,27.651,51.76,0.098443,0.1368,0.19587,0.25754,0.33247,0.42255,0.53485,0.70302,0.89025,1.1368,1.464,1.907,2.5249,3.4171,4.7535,6.8357,10.265,16.304,27.801,51.907,0.22023,0.2754,0.32792,0.39815,0.47853,0.56967,0.70302,0.85008,1.0396,1.2837,1.6047,2.044,2.7093,3.6051,4.9451,7.0273,10.455,16.493,27.989,52.094,0.56108,0.61625,0.68099,0.73387,0.82551,0.91864,1.0544,1.1965,1.4093,1.6459,2.0052,2.4463,3.0601,3.9403,5.2309,7.4383,10.867,16.906,28.401,52.503
5.2999e-11,6.4042e-11,0.02284,0.055208,0.12009,0.19705,0.30671,0.44591,0.63239,0.87743,1.2056,1.6152,2.2419,3.1537,4.5292,6.6933,10.287,16.669,28.955,55.075,0.023626,0.055208,0.10667,0.16351,0.22976,0.32072,0.43269,0.57693,0.76361,1.0107,1.3414,1.791,2.4215,3.3367,4.7154,6.8796,10.473,16.853,29.138,55.255,0.097532,0.13619,0.19705,0.25766,0.33319,0.42398,0.5383,0.70821,0.89771,1.1484,1.4816,1.9341,2.5674,3.4857,4.8672,7.0312,10.623,17.003,29.286,55.401,0.2186,0.27408,0.32693,0.40105,0.47849,0.57054,0.70775,0.85399,1.0463,1.2939,1.6208,2.074,2.7514,3.6732,5.0583,7.2215,10.811,17.191,29.473,55.586,0.55835,0.61383,0.67898,0.73129,0.8237,0.92594,1.0553,1.2056,1.4138,1.6544,2.0206,2.4706,3.099,4.0036,5.3327,7.6371,11.223,17.603,29.884,55.994
5.3007e-11,6.4065e-11,0.023312,0.055472,0.12071,0.19816,0.31009,0.45112,0.64017,0.88919,1.2183,1.6412,2.2828,3.2195,4.6385,6.8826,10.635,17.354,30.428,58.592,0.023192,0.055472,0.10666,0.16393,0.23075,0.3225,0.43557,0.58148,0.77075,1.0217,1.3581,1.8167,2.4618,3.402,4.8239,7.0677,10.819,17.538,30.609,58.77,0.096533,0.13547,0.19816,0.25763,0.33367,0.42511,0.54234,0.71244,0.90452,1.159,1.4978,1.9594,2.6073,3.5504,4.9751,7.2182,10.969,17.686,30.756,58.915,0.21689,0.27265,0.3257,0.40343,0.47819,0.57092,0.70954,0.85742,1.0523,1.303,1.6354,2.1025,2.7907,3.7373,5.1655,7.407,11.156,17.873,30.942,59.098,0.55498,0.61074,0.67627,0.72865,0.82179,0.9346,1.0555,1.2183,1.4174,1.6616,2.0343,2.4927,3.1349,4.0623,5.4279,7.8202,11.566,18.283,31.351,59.503
5.3011e-11,6.4096e-11,0.02374,0.055719,0.1213,0.19921,0.31323,0.45595,0.64741,0.90019,1.2304,1.6656,2.3214,3.2819,4.7426,7.0642,10.972,18.024,31.885,62.126,0.022732,0.055719,0.10655,0.16425,0.2316,0.32406,0.43813,0.58559,0.77729,1.0318,1.3736,1.8406,2.4998,3.4637,4.927,7.2479,11.154,18.206,32.065,62.302,0.09544,0.13467,0.19921,0.25746,0.33395,0.42593,0.54616,0.71616,0.91069,1.1688,1.5128,1.9829,2.6447,3.6115,5.0774,7.3971,11.303,18.354,32.211,62.445,0.21505,0.27107,0.32428,0.4025,0.47756,0.57086,0.71081,0.86033,1.0574,1.311,1.6485,2.1297,2.8274,3.7977,5.267,7.5843,11.489,18.539,32.395,62.626,0.5511,0.60712,0.67302,0.72574,0.81956,0.93341,1.0551,1.2298,1.4199,1.6676,2.0465,2.5128,3.1679,4.1163,5.5166,7.9948,11.897,18.947,32.801,63.029
